,crop,N,P,K,ph
0,Apple,20.8,134.22,199.89,5.929662931809999
1,Banana,100.23,82.01,50.05,5.98389318024
2,Blackgram,40.02,67.47,19.24,7.13395162948
3,Chickpea,40.09,67.79,79.92,7.33695662374
4,Coconut,21.98,16.93,30.59,5.97656212619
5,Coffee,101.2,28.74,29.94,6.79030827457
6,Cotton,117.77,46.24,19.56,6.91267549578
7,Grapes,23.18,132.53,200.11,6.025936681099999
8,Jute,78.4,46.86,39.99,6.7327775681699995
9,Kidneybeans,20.75,67.54,20.05,5.749410585870001
10,Lentil,18.77,68.36,19.41,6.927931571609999
11,Maize,77.76,48.44,19.79,6.2451897224
12,Mango,20.07,27.18,29.92,5.766372799660001
13,Mothbeans,21.44,48.01,20.23,6.83117408269
14,Mungbean,20.99,47.28,19.87,6.72395694037
15,Muskmelon,100.32,17.72,50.08,6.35880545179
16,Orange,19.58,16.55,10.01,7.01695745276
17,Papaya,49.88,59.05,50.04,6.74144237274
18,Pigeonpeas,20.73,67.73,20.29,5.794174879790001
19,Pomegranate,18.87,18.75,40.21,6.4291718411700005
20,Rice,79.89,47.58,39.87,6.425470922140001
21,Watermelon,99.42,17.0,50.22,6.49577830157
